folder	orig	status	distance	images
034 34 NA_ESHOPU	34	NA_ESHOPU	5	7
035 35 NA_ESHOPU	35	NA_ESHOPU	5	3
036 36 NA_ESHOPU	36	NA_ESHOPU	5	10
037 37 NA_ESHOPU	37	NA_ESHOPU	3	10
038 38 NA_ESHOPU	38	NA_ESHOPU	3	3
039 39 NA_ESHOPU	39	NA_ESHOPU	5	7
040 40 NA_ESHOPU	40	NA_ESHOPU	3	11
041 41 NA_ESHOPU	41	NA_ESHOPU	3	9
042 42 NA_ESHOPU	42	NA_ESHOPU	6	3
043 43 NA_ESHOPU	43	NA_ESHOPU	3	9
044 44 NA_ESHOPU	44	NA_ESHOPU	4	20
045 45 NA_ESHOPU	45	NA_ESHOPU	2	7
046 46 NA_ESHOPU	46	NA_ESHOPU	0	7
047 47 NA_ESHOPU	47	NA_ESHOPU	7	7
048 48 NA_ESHOPU	48	NA_ESHOPU	4	13
049 49 NA_ESHOPU	49	NA_ESHOPU	6	7
050 50 NA_ESHOPU	50	NA_ESHOPU	5	7
051 52 NA_ESHOPU	52	NA_ESHOPU	1	7
052 53 NA_ESHOPU	53	NA_ESHOPU	1	3
053 54 NA_ESHOPU	54	NA_ESHOPU	3	3
054 55 NA_ESHOPU	55	NA_ESHOPU	3	3
055 56 NA_ESHOPU	56	NA_ESHOPU	3	3
056 57 NA_ESHOPU	57	NA_ESHOPU	1	7
057 58 NA_ESHOPU	58	NA_ESHOPU	4	7
058 59 NA_ESHOPU	59	NA_ESHOPU	2	13
059 60 NA_ESHOPU	60	NA_ESHOPU	2	7
060 61 NA_ESHOPU	61	NA_ESHOPU	3	3
061 62 NA_ESHOPU	62	NA_ESHOPU	5	3
062 63 NA_ESHOPU	63	NA_ESHOPU	4	3
063 64 NA_ESHOPU	64	NA_ESHOPU	2	7
064 65 NA_ESHOPU	65	NA_ESHOPU	4	10
065 66 NA_ESHOPU	66	NA_ESHOPU	2	7
066 67 NA_ESHOPU	67	NA_ESHOPU	3	7
067 68 NA_ESHOPU	68	NA_ESHOPU	3	10
068 69 NA_ESHOPU	69	NA_ESHOPU	2	13
069 70 NA_ESHOPU	70	NA_ESHOPU	2	10
070 71 NA_ESHOPU	71	NA_ESHOPU	1	10
071 72 NA_ESHOPU	72	NA_ESHOPU	2	16
072 73 NA_ESHOPU	73	NA_ESHOPU	1	22
073 74 NA_ESHOPU	74	NA_ESHOPU	0	19
074 75 NA_ESHOPU	75	NA_ESHOPU	2	19
075 76 NA_ESHOPU	76	NA_ESHOPU	3	3
076 77 NA_ESHOPU	77	NA_ESHOPU	3	3
077 78 NA_ESHOPU	78	NA_ESHOPU	4	8
078 79 NA_ESHOPU	79	NA_ESHOPU	7	3
079 80 NA_ESHOPU	80	NA_ESHOPU	3	3
080 81 NA_ESHOPU	81	NA_ESHOPU	1	17
081 82 NA_ESHOPU	82	NA_ESHOPU	0	16
082 83 NA_ESHOPU	83	NA_ESHOPU	2	7
083 84 NA_ESHOPU	84	NA_ESHOPU	3	10
084 85 NA_ESHOPU	85	NA_ESHOPU	3	3
085 86 NA_ESHOPU	86	NA_ESHOPU	1	7
086 87 NA_ESHOPU	87	NA_ESHOPU	2	7
087 88 NA_ESHOPU	88	NA_ESHOPU	4	3
088 89 NA_ESHOPU	89	NA_ESHOPU	3	10
089 90 NA_ESHOPU	90	NA_ESHOPU	1	10
090 91 NA_ESHOPU	91	NA_ESHOPU	5	17
091 92 NA_ESHOPU	92	NA_ESHOPU	2	3
092 93 NA_ESHOPU	93	NA_ESHOPU	10	3
093 94 NA_ESHOPU	94	NA_ESHOPU	5	3
094 95 NA_ESHOPU	95	NA_ESHOPU	6	6
095 96 NA_ESHOPU	96	NA_ESHOPU	4	13
096 97 NA_ESHOPU	97	NA_ESHOPU	2	3
097 98 NA_ESHOPU	98	NA_ESHOPU	2	19
098 99 NA_ESHOPU	99	NA_ESHOPU	4	13
099 100 NA_ESHOPU	100	NA_ESHOPU	2	3
100 101 NA_ESHOPU	101	NA_ESHOPU	4	3
101 102 NA_ESHOPU	102	NA_ESHOPU	4	3
102 103 NA_ESHOPU	103	NA_ESHOPU	1	10
