folder	base	status	distance	local	db	images
091 NA_ESHOPU	091	NA_ESHOPU	4	091\kvety-153.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\466d7fab-fe12-4851-a3c8-2223e111a2e3.webp	7
092 NA_ESHOPU	092	NA_ESHOPU	1	092\kvety-159.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\149c7c43-bf2c-4d31-9688-6cbbd6ad46a9.webp	7
093 NA_ESHOPU	093	NA_ESHOPU	7	093\kvety-243.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2bb3b73a-2545-4d33-895a-f85aa2950ead.webp	4
094 NA_ESHOPU	094	NA_ESHOPU	4	094\kvety-199.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\5507f621-b535-4eed-8113-033f17739f9a.webp	10
095 NA_ESHOPU	095	NA_ESHOPU	1	095\kvety-122.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\8d2cb7db-ac21-416a-8410-34e1d673a7a5.webp	5
096 NA_ESHOPU	096	NA_ESHOPU	3	096\kvety-289.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\147295e7-ae6a-4290-b184-57d2205332d1.webp	7
097 NA_ESHOPU	097	NA_ESHOPU	6	097\kvety-305.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\c1ccb8e5-6e91-488d-a68a-1edc6d65f721.webp	10
098 NA_ESHOPU	098	NA_ESHOPU	2	098\kvety-11.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\4d2e52bc-86c3-4a01-b982-cf0d805eeb30.webp	13
099 NA_ESHOPU	099	NA_ESHOPU	3	099\kvety-330.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\d3324926-f5d3-4ff9-8c5a-419ea9ba9d23.webp	9
100 NA_ESHOPU	100	NA_ESHOPU	5	100\kvety-268.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2bb3b73a-2545-4d33-895a-f85aa2950ead.webp	23
101 NA_ESHOPU	101	NA_ESHOPU	1	101\kvety-181.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\c04851f6-9a90-45f1-9393-87ee551e40d2.webp	10
102 NA_ESHOPU	102	NA_ESHOPU	7	102\kvety-283.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\11dc7edf-b449-4cda-80c1-2be8f0180a49.webp	4
103 NA_ESHOPU	103	NA_ESHOPU	2	103\kvety-33.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\88c541ab-2bef-42a6-80f8-dc28f7994e95.webp	23
104 NA_ESHOPU	104	NA_ESHOPU	2	104\kvety-76.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\7ce5517e-76e8-43ab-a972-b5ec9059495c.webp	26
105 NA_ESHOPU	105	NA_ESHOPU	8	105\kvety-86.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\40ab77a5-7dec-4da5-b492-454e8a288524.webp	16
106 NA_ESHOPU	106	NA_ESHOPU	0	106\kvety-9.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\28cf6ca6-9296-49c5-8315-830fc8259e2c.webp	6
107 NA_ESHOPU	107	NA_ESHOPU	2	107\kvety-21.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\be4d3086-4d37-457e-abb4-e0acfac6ebc5.webp	12
108 NA_ESHOPU	108	NA_ESHOPU	2	108\kvety-44.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\07840c4d-a35b-4db5-b73e-a90279dedd8f.webp	22
109 NA_ESHOPU	109	NA_ESHOPU	3	109\kvety-339.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\6d8a0f4c-20c6-4da9-811d-62060c2bd0e0.webp	9
110 NA_ESHOPU	110	NA_ESHOPU	4	110\kvety-222.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\18fa2eb5-a620-431a-bed0-d3f8b03047bc.webp	7
111 NA_ESHOPU	111	NA_ESHOPU	3	111\kvety-301.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\b17f3ff5-0116-42fd-b78f-2dad8c0fd5bf.webp	9
112 NA_ESHOPU	112	NA_ESHOPU	4	112\kvety-18.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\b41ba0a8-1487-4b1a-ab7e-e819950f9b9c.webp	7
113 NA_ESHOPU	113	NA_ESHOPU	4	113\kvety-108.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2a905845-35fe-4afb-9ce9-e4ba731885f5.webp	4
114 NA_ESHOPU	114	NA_ESHOPU	5	114\kvety-113.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\0d47b6b7-8b1c-41c9-ada5-6864d104d10b.webp	9
115 NA_ESHOPU	115	NA_ESHOPU	0	115\kvety-100.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2eb947b0-8323-4d1c-b0a9-ec98dc651dac.webp	7
116 NA_ESHOPU	116	NA_ESHOPU	2	116\kvety-80.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\9447674f-bfa3-4080-a3e0-2bc40a2baa3b.webp	13
117 NA_ESHOPU	117	NA_ESHOPU	3	117\kvety-90.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\7ce5517e-76e8-43ab-a972-b5ec9059495c.webp	14
118 NA_ESHOPU	118	NA_ESHOPU	1	118\kvety-122.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\8f47fa3a-0809-424b-b541-6ea46d84fdda.webp	12
119 NA_ESHOPU	119	NA_ESHOPU	5	119\kvety-7.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\a9718bfd-f7e2-4888-a105-3de8440d6a13.webp	9
120 NA_ESHOPU	120	NA_ESHOPU	0	120\kvety-131.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\2bb3b73a-2545-4d33-895a-f85aa2950ead.webp	9
121 NA_ESHOPU	121	NA_ESHOPU	4	121\kvety-86.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\3b9c3dd0-af89-4c5b-b5bd-fc5102e3cec4.webp	7
122 NA_ESHOPU	122	NA_ESHOPU	4	122\kvety-75.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\71d9f8c4-476c-4a83-b1c6-67b064986ba4.webp	10
123 NA_ESHOPU	123	NA_ESHOPU	3	123\kvety-55.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\1e8d6b6e-ea72-44eb-8869-c352c60cb3e3.webp	10
124 NA_ESHOPU	124	NA_ESHOPU	3	124\KVETY3 (1).jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\c85ef650-f186-4f63-81de-ba2ef72bd9b4.webp	10
125 NA_ESHOPU	125	NA_ESHOPU	2	125\kvety-105.jpg	22437e1d-5c63-4ecb-a461-0dffd2af4c52\26be778d-d558-4ec5-8a86-bdd1835d4de1.webp	4
